event_ticker,series_ticker,event_category,series_category,template,mutually_exclusive,collateral_return_type,n_markets,n_active,n_traded,partition_tiled,exhaustiveness,fee_multiplier,fee_type,frequency
KXWARMING-50,KXWARMING,Climate and Weather,Climate and Weather,binary,0,,1,1,1,0,,1,quadratic,one_off
KXERUPTSUPER-0,KXERUPTSUPER,Climate and Weather,Climate and Weather,binary,0,,1,1,1,0,,1,quadratic,custom
KXEARTHQUAKECALIFORNIA-35,KXEARTHQUAKECALIFORNIA,Climate and Weather,Climate and Weather,binary,0,,1,1,1,0,,1,quadratic,custom
EUCLIMATE,KXEUCLIMATE,Climate and Weather,Climate and Weather,binary,0,,1,1,1,0,,1,quadratic,one_off
INDIACLIMATE-30,KXINDIACLIMATE,Climate and Weather,Climate and Weather,binary,0,,1,1,1,0,,1,quadratic,custom
USCLIMATE,KXUSCLIMATE,Climate and Weather,Climate and Weather,deadline,0,,2,2,2,0,,1,quadratic,one_off
KXPRIMEENGCONSUMPTION-30,KXPRIMEENGCONSUMPTION,Climate and Weather,Science and Technology,entity_menu,1,MECNET,10,10,10,0,,1,quadratic,custom
EVSHARE-30JAN,KXEVSHARE,Climate and Weather,Climate and Weather,threshold,0,,4,4,4,0,,1,quadratic,custom
KXEARTHQUAKEJAPAN-30,KXEARTHQUAKEJAPAN,Climate and Weather,Climate and Weather,binary,0,,1,1,1,0,,1,quadratic,custom
KXTXURI-28DEC31,KXTXURI,Climate and Weather,Climate and Weather,deadline,0,,3,3,2,0,,1,quadratic,one_off
KXEARTHQUAKECALIFORNIA-28,KXEARTHQUAKECALIFORNIA,Climate and Weather,Climate and Weather,binary,0,,1,1,1,0,,1,quadratic,custom
KXRONI-27AUG,KXRONI,Climate and Weather,Climate and Weather,entity_menu,1,MECNET,5,5,5,0,,1,quadratic,one_off
KXVEI4-26DEC31,KXVEI4,Climate and Weather,Climate and Weather,threshold,0,DIRECNET,3,3,3,0,,1,quadratic,one_off
KXRONI-27APR2,KXRONI,Climate and Weather,Climate and Weather,entity_menu,1,MECNET,6,6,6,0,,1,quadratic,one_off
