game_key,n_market_types,series
26AUG042040TBCOL,18,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBHIT|KXMLBHR|KXMLBHRR|KXMLBKS|KXMLBOUTS|KXMLBRBI|KXMLBRFI|KXMLBSPREAD|KXMLBTB|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG042010TORHOU,18,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBHIT|KXMLBHR|KXMLBHRR|KXMLBKS|KXMLBOUTS|KXMLBRBI|KXMLBRFI|KXMLBSPREAD|KXMLBTB|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG042005LADCHC,18,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBHIT|KXMLBHR|KXMLBHRR|KXMLBKS|KXMLBOUTS|KXMLBRBI|KXMLBRFI|KXMLBSPREAD|KXMLBTB|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG041940MINKC,18,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBHIT|KXMLBHR|KXMLBHRR|KXMLBKS|KXMLBOUTS|KXMLBRBI|KXMLBRFI|KXMLBSPREAD|KXMLBTB|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG041840WSHPHI,18,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBHIT|KXMLBHR|KXMLBHRR|KXMLBKS|KXMLBOUTS|KXMLBRBI|KXMLBRFI|KXMLBSPREAD|KXMLBTB|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG041840NYMCLE,18,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBHIT|KXMLBHR|KXMLBHRR|KXMLBKS|KXMLBOUTS|KXMLBRBI|KXMLBRFI|KXMLBSPREAD|KXMLBTB|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG041840ATHCIN,18,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBHIT|KXMLBHR|KXMLBHRR|KXMLBKS|KXMLBOUTS|KXMLBRBI|KXMLBRFI|KXMLBSPREAD|KXMLBTB|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG042140SDAZ,14,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBHR|KXMLBKS|KXMLBOUTS|KXMLBRFI|KXMLBSPREAD|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG042140DETSEA,13,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBKS|KXMLBOUTS|KXMLBRFI|KXMLBSPREAD|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG041940PITMIL,13,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBKS|KXMLBOUTS|KXMLBRFI|KXMLBSPREAD|KXMLBTEAMTOTAL|KXMLBTOTAL
