race_key,n_families,members
VA06,4,margin:KXMIDTERMMOV-VA06D|margin:KXMIDTERMMOV-VA06R|turnout:KXMIDTERMVOTETURN-VA06|winner:KXHOUSERACE-VA06-26
VA05,4,margin:KXMIDTERMMOV-VA05D|margin:KXMIDTERMMOV-VA05R|turnout:KXMIDTERMVOTETURN-VA05|winner:KXHOUSERACE-VA05-26
TX34,4,margin:KXMIDTERMMOV-TX34D|margin:KXMIDTERMMOV-TX34R|turnout:KXMIDTERMVOTETURN-TX34|winner:HOUSETX34-26
TX28,4,margin:KXMIDTERMMOV-TX28D|margin:KXMIDTERMMOV-TX28R|turnout:KXMIDTERMVOTETURN-TX28|winner:HOUSETX28-26
TX23,4,margin:KXMIDTERMMOV-TX23D|margin:KXMIDTERMMOV-TX23R|turnout:KXMIDTERMVOTETURN-TX23|winner:KXHOUSERACE-TX23-26
TX15,4,margin:KXMIDTERMMOV-TX15D|margin:KXMIDTERMMOV-TX15R|turnout:KXMIDTERMVOTETURN-TX15|winner:HOUSETX15-26
TN05,4,margin:KXMIDTERMMOV-TN05D|margin:KXMIDTERMMOV-TN05R|turnout:KXMIDTERMVOTETURN-TN05|winner:KXHOUSERACE-TN05-26
SC01,4,margin:KXMIDTERMMOV-SC01D|margin:KXMIDTERMMOV-SC01R|turnout:KXMIDTERMVOTETURN-SC01|winner:KXHOUSERACE-SC01-26
PA10,4,margin:KXMIDTERMMOV-PA10D|margin:KXMIDTERMMOV-PA10R|turnout:KXMIDTERMVOTETURN-PA10|winner:HOUSEPA10-26
OH15,4,margin:KXMIDTERMMOV-OH15D|margin:KXMIDTERMMOV-OH15R|turnout:KXMIDTERMVOTETURN-OH15|winner:KXHOUSERACE-OH15-26
OH10,4,margin:KXMIDTERMMOV-OH10D|margin:KXMIDTERMMOV-OH10R|turnout:KXMIDTERMVOTETURN-OH10|winner:KXHOUSERACE-OH10-26
OH07,4,margin:KXMIDTERMMOV-OH07D|margin:KXMIDTERMMOV-OH07R|turnout:KXMIDTERMVOTETURN-OH07|winner:KXHOUSERACE-OH07-26
NY19,4,margin:KXMIDTERMMOV-NY19D|margin:KXMIDTERMMOV-NY19R|turnout:KXMIDTERMVOTETURN-NY19|winner:HOUSENY19-26
NY17,4,margin:KXMIDTERMMOV-NY17D|margin:KXMIDTERMMOV-NY17R|turnout:KXMIDTERMVOTETURN-NY17|winner:HOUSENY17-26
NY02,4,margin:KXMIDTERMMOV-NY02D|margin:KXMIDTERMMOV-NY02R|turnout:KXMIDTERMVOTETURN-NY02|winner:KXHOUSERACE-NY02-26
NY01,4,margin:KXMIDTERMMOV-NY01D|margin:KXMIDTERMMOV-NY01R|turnout:KXMIDTERMVOTETURN-NY01|winner:KXHOUSERACE-NY01-26
NV02,4,margin:KXMIDTERMMOV-NV02D|margin:KXMIDTERMMOV-NV02R|turnout:KXMIDTERMVOTETURN-NV02|winner:KXHOUSERACE-NV02-26
NJ02,4,margin:KXMIDTERMMOV-NJ02D|margin:KXMIDTERMMOV-NJ02R|turnout:KXMIDTERMVOTETURN-NJ02|winner:KXHOUSERACE-NJ02-26
MO02,4,margin:KXMIDTERMMOV-MO02D|margin:KXMIDTERMMOV-MO02R|turnout:KXMIDTERMVOTETURN-MO02|winner:KXHOUSERACE-MO02-26
MN08,4,margin:KXMIDTERMMOV-MN08D|margin:KXMIDTERMMOV-MN08R|turnout:KXMIDTERMVOTETURN-MN08|winner:KXHOUSERACE-MN08-26
MN01,4,margin:KXMIDTERMMOV-MN01D|margin:KXMIDTERMMOV-MN01R|turnout:KXMIDTERMVOTETURN-MN01|winner:KXHOUSERACE-MN01-26
MI10,4,margin:KXMIDTERMMOV-MI10D|margin:KXMIDTERMMOV-MI10R|turnout:KXMIDTERMVOTETURN-MI10|winner:HOUSEMI10-26
KY06,4,margin:KXMIDTERMMOV-KY06D|margin:KXMIDTERMMOV-KY06R|turnout:KXMIDTERMVOTETURN-KY06|winner:KXHOUSERACE-KY06-26
IA02,4,margin:KXMIDTERMMOV-IA02D|margin:KXMIDTERMMOV-IA02R|turnout:KXMIDTERMVOTETURN-IA02|winner:KXHOUSERACE-IA02-26
FL27,4,margin:KXMIDTERMMOV-FL27D|margin:KXMIDTERMMOV-FL27R|turnout:KXMIDTERMVOTETURN-FL27|winner:KXHOUSERACE-FL27-26
FL23,4,margin:KXMIDTERMMOV-FL23D|margin:KXMIDTERMMOV-FL23R|turnout:KXMIDTERMVOTETURN-FL23|winner:HOUSEFL23-26
FL16,4,margin:KXMIDTERMMOV-FL16D|margin:KXMIDTERMMOV-FL16R|turnout:KXMIDTERMVOTETURN-FL16|winner:KXHOUSERACE-FL16-26
FL15,4,margin:KXMIDTERMMOV-FL15D|margin:KXMIDTERMMOV-FL15R|turnout:KXMIDTERMVOTETURN-FL15|winner:KXHOUSERACE-FL15-26
FL13,4,margin:KXMIDTERMMOV-FL13D|margin:KXMIDTERMMOV-FL13R|turnout:KXMIDTERMVOTETURN-FL13|winner:HOUSEFL13-26
FL07,4,margin:KXMIDTERMMOV-FL07D|margin:KXMIDTERMMOV-FL07R|turnout:KXMIDTERMVOTETURN-FL07|winner:KXHOUSERACE-FL07-26
FL04,4,margin:KXMIDTERMMOV-FL04D|margin:KXMIDTERMMOV-FL04R|turnout:KXMIDTERMVOTETURN-FL04|winner:KXHOUSERACE-FL04-26
CO05,4,margin:KXMIDTERMMOV-CO05D|margin:KXMIDTERMMOV-CO05R|turnout:KXMIDTERMVOTETURN-CO05|winner:KXHOUSERACE-CO05-26
CO04,4,margin:KXMIDTERMMOV-CO04D|margin:KXMIDTERMMOV-CO04R|turnout:KXMIDTERMVOTETURN-CO04|winner:KXHOUSERACE-CO04-26
WYAL,3,margin:KXMIDTERMMOV-WYALR|turnout:KXMIDTERMVOTETURN-WYAL|winner:KXHOUSERACE-WYAL-26
WV02,3,margin:KXMIDTERMMOV-WV02R|turnout:KXMIDTERMVOTETURN-WV02|winner:KXHOUSERACE-WV02-26
WV01,3,margin:KXMIDTERMMOV-WV01R|turnout:KXMIDTERMVOTETURN-WV01|winner:KXHOUSERACE-WV01-26
WIGOV,3,margin:KXMIDTERMMOV-WIGOVD|margin:KXMIDTERMMOV-WIGOVR|turnout:KXMIDTERMVOTETURN-WIGOV
WI08,3,margin:KXMIDTERMMOV-WI08R|turnout:KXMIDTERMVOTETURN-WI08|winner:KXHOUSERACE-WI08-26
WI07,3,margin:KXMIDTERMMOV-WI07R|turnout:KXMIDTERMVOTETURN-WI07|winner:KXHOUSERACE-WI07-26
WI06,3,margin:KXMIDTERMMOV-WI06R|turnout:KXMIDTERMVOTETURN-WI06|winner:KXHOUSERACE-WI06-26
WI05,3,margin:KXMIDTERMMOV-WI05R|turnout:KXMIDTERMVOTETURN-WI05|winner:KXHOUSERACE-WI05-26
WI04,3,margin:KXMIDTERMMOV-WI04D|turnout:KXMIDTERMVOTETURN-WI04|winner:KXHOUSERACE-WI04-26
WI03,3,margin:KXMIDTERMMOV-WI03D|margin:KXMIDTERMMOV-WI03R|turnout:KXMIDTERMVOTETURN-WI03
WI02,3,margin:KXMIDTERMMOV-WI02D|turnout:KXMIDTERMVOTETURN-WI02|winner:KXHOUSERACE-WI02-26
WI01,3,margin:KXMIDTERMMOV-WI01D|margin:KXMIDTERMMOV-WI01R|turnout:KXMIDTERMVOTETURN-WI01
VTAL,3,margin:KXMIDTERMMOV-VTALD|turnout:KXMIDTERMVOTETURN-VTAL|winner:KXHOUSERACE-VTAL-26
VA11,3,margin:KXMIDTERMMOV-VA11D|turnout:KXMIDTERMVOTETURN-VA11|winner:KXHOUSERACE-VA11-26
VA09,3,margin:KXMIDTERMMOV-VA09R|turnout:KXMIDTERMVOTETURN-VA09|winner:KXHOUSERACE-VA09-26
VA08,3,margin:KXMIDTERMMOV-VA08D|turnout:KXMIDTERMVOTETURN-VA08|winner:KXHOUSERACE-VA08-26
VA04,3,margin:KXMIDTERMMOV-VA04D|turnout:KXMIDTERMVOTETURN-VA04|winner:KXHOUSERACE-VA04-26
VA03,3,margin:KXMIDTERMMOV-VA03D|turnout:KXMIDTERMVOTETURN-VA03|winner:KXHOUSERACE-VA03-26
VA02,3,margin:KXMIDTERMMOV-VA02D|margin:KXMIDTERMMOV-VA02R|turnout:KXMIDTERMVOTETURN-VA02
VA01,3,margin:KXMIDTERMMOV-VA01D|margin:KXMIDTERMMOV-VA01R|turnout:KXMIDTERMVOTETURN-VA01
UT04,3,margin:KXMIDTERMMOV-UT04R|turnout:KXMIDTERMVOTETURN-UT04|winner:KXHOUSERACE-UT04-26
TXSEN,3,margin:KXMIDTERMMOV-TXSEND|margin:KXMIDTERMMOV-TXSENR|turnout:KXMIDTERMVOTETURN-TXSEN
TXGOV,3,margin:KXMIDTERMMOV-TXGOVD|margin:KXMIDTERMMOV-TXGOVR|turnout:KXMIDTERMVOTETURN-TXGOV
TX38,3,margin:KXMIDTERMMOV-TX38R|turnout:KXMIDTERMVOTETURN-TX38|winner:KXHOUSERACE-TX38-26
TX37,3,margin:KXMIDTERMMOV-TX37D|turnout:KXMIDTERMVOTETURN-TX37|winner:KXHOUSERACE-TX37-26
TX36,3,margin:KXMIDTERMMOV-TX36R|turnout:KXMIDTERMVOTETURN-TX36|winner:KXHOUSERACE-TX36-26
TX35,3,margin:KXMIDTERMMOV-TX35D|margin:KXMIDTERMMOV-TX35R|turnout:KXMIDTERMVOTETURN-TX35
TX33,3,margin:KXMIDTERMMOV-TX33D|turnout:KXMIDTERMVOTETURN-TX33|winner:KXHOUSERACE-TX33-26
TX32,3,margin:KXMIDTERMMOV-TX32D|margin:KXMIDTERMMOV-TX32R|turnout:KXMIDTERMVOTETURN-TX32
TX31,3,margin:KXMIDTERMMOV-TX31R|turnout:KXMIDTERMVOTETURN-TX31|winner:KXHOUSERACE-TX31-26
TX30,3,margin:KXMIDTERMMOV-TX30D|turnout:KXMIDTERMVOTETURN-TX30|winner:KXHOUSERACE-TX30-26
TX29,3,margin:KXMIDTERMMOV-TX29D|turnout:KXMIDTERMVOTETURN-TX29|winner:KXHOUSERACE-TX29-26
TX27,3,margin:KXMIDTERMMOV-TX27R|turnout:KXMIDTERMVOTETURN-TX27|winner:KXHOUSERACE-TX27-26
TX26,3,margin:KXMIDTERMMOV-TX26R|turnout:KXMIDTERMVOTETURN-TX26|winner:KXHOUSERACE-TX26-26
TX25,3,margin:KXMIDTERMMOV-TX25R|turnout:KXMIDTERMVOTETURN-TX25|winner:KXHOUSERACE-TX25-26
TX24,3,margin:KXMIDTERMMOV-TX24R|turnout:KXMIDTERMVOTETURN-TX24|winner:KXHOUSERACE-TX24-26
TX22,3,margin:KXMIDTERMMOV-TX22R|turnout:KXMIDTERMVOTETURN-TX22|winner:KXHOUSERACE-TX22-26
TX21,3,margin:KXMIDTERMMOV-TX21R|turnout:KXMIDTERMVOTETURN-TX21|winner:KXHOUSERACE-TX21-26
TX20,3,margin:KXMIDTERMMOV-TX20D|turnout:KXMIDTERMVOTETURN-TX20|winner:KXHOUSERACE-TX20-26
TX19,3,margin:KXMIDTERMMOV-TX19R|turnout:KXMIDTERMVOTETURN-TX19|winner:KXHOUSERACE-TX19-26
TX18,3,margin:KXMIDTERMMOV-TX18D|turnout:KXMIDTERMVOTETURN-TX18|winner:KXHOUSERACE-TX18-26
