underlying,n_window_series,window_suffixes
INX,8,BASE|DIRY|DUD|MAXY|MINY|POS|U|Y
WTI,7,BASE|DIRY|H|MAX|MIN|W|WHEN
XRP,7,BASE|D|MAXMON|MAXY|MINMON|MINY|Y
ETH,7,BASE|D|MAXMON|MAXY|MINMON|MINY|Y
DOGE,7,BASE|D|MAXMON|MAXY|MINMON|MINY|Y
BTC,7,BASE|D|MAXMON|MAXY|MINMON|MINY|Y
BNB,7,BASE|D|MAXMON|MAXY|MINMON|MINY|Y
SOL,6,D|E|MAXMON|MAXY|MINMON|MINY
NASDAQ100,6,BASE|MAXY|MINY|POS|U|Y
GOLD,5,D|DIRY|H|MON|W
ZEC,5,MAXMON|MAXY|MINMON|MINY|Y
HYPE,5,BASE|D|MAXMON|MINMON|Y
SILVER,4,D|H|MON|W
NATGAS,3,D|MON|W
COPPER,3,D|MON|W
NEAR,3,MAXY|MINY|Y
SHIBA,2,BASE|D
DJI,2,A|BASE
USDJPY,2,AW|BASE
EURUSD,2,AW|BASE
