family,kind,board,members,basis,caveat
L-deadline,implication,Climate and Weather,USCLIMATE | 2 legs,earlier deadline implies later within one event,1 monitorable pairs
P1-mutex,partition,Climate and Weather,KXPRIMEENGCONSUMPTION-30 | 10 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Climate and Weather,EVSHARE-30JAN | 4 legs,nested thresholds on one subject: above #%,6 monitorable pairs
L-deadline,implication,Climate and Weather,KXTXURI-28DEC31 | 3 legs,earlier deadline implies later within one event,3 monitorable pairs
P1-mutex,partition,Climate and Weather,KXRONI-27AUG | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Climate and Weather,KXVEI4-26DEC31 | 3 legs,nested thresholds on one subject: at least #,3 monitorable pairs
P1-mutex,partition,Climate and Weather,KXRONI-27APR2 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXRONI-27APR | 5 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Climate and Weather,KXMEAD-26DEC | 8 legs,nested thresholds on one subject: above # ft,28 monitorable pairs
L-threshold,implication,Climate and Weather,KXTROPSTORM-26DEC01 | 8 legs,nested thresholds on one subject: above #,28 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURCTOTMAJ-26DEC01 | 8 legs,nested thresholds on one subject: above #,28 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURCTOT-26DEC01 | 9 legs,nested thresholds on one subject: above #,36 monitorable pairs
L-threshold,implication,Climate and Weather,KXNAMEDSTORM-26DEC01EPACTOT | 8 legs,nested thresholds on one subject: above #,28 monitorable pairs
L-threshold,implication,Climate and Weather,KXNAMEDSTORM-26DEC01CPACTOT | 6 legs,nested thresholds on one subject: above #,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURRICANE-26DEC01EPACTOT | 9 legs,nested thresholds on one subject: above #,36 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURRICANE-26DEC01EPACMAJ | 6 legs,nested thresholds on one subject: above #,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURRICANE-26DEC01CPACTOT | 5 legs,nested thresholds on one subject: above #,10 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURRICANE-26DEC01CPACMAJ | 4 legs,nested thresholds on one subject: above #,6 monitorable pairs
L-threshold,implication,Climate and Weather,KXHURCAT-26FAUSTO | 3 legs,nested thresholds on one subject: category # or above,3 monitorable pairs
P1-mutex,partition,Climate and Weather,KXFIRSTHURRICANE-26DEC01ATL | 21 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Climate and Weather,KXARCTICICEMIN-26OCT01 | 9 legs,nested thresholds on one subject: below # million sq km,36 monitorable pairs
P1-mutex,partition,Climate and Weather,KXHMONTHRANGE-26AUG | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
L-threshold,implication,Climate and Weather,KXRAINSFOM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINSEAM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINMIAM-26AUG | 9 legs,nested thresholds on one subject: above # inches,36 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINLAXM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINHOUM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINDENM-26AUG | 9 legs,nested thresholds on one subject: above # inches,36 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINDALM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINCHIM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINAUSM-26AUG | 6 legs,nested thresholds on one subject: above # inches,15 monitorable pairs
L-threshold,implication,Climate and Weather,KXTORNADO-26AUG | 11 legs,nested thresholds on one subject: above #,55 monitorable pairs
L-threshold,implication,Climate and Weather,KXRAINNYCM-26AUG | 4 legs,nested thresholds on one subject: above # inches,6 monitorable pairs
P1-mutex,partition,Climate and Weather,KXHMONTHRANGE-26JUL | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTSFO-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTSEA-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTSATX-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTPHX-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTPHIL-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTOKC-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTNYC-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTNOLA-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTMIN-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTMIA-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTLV-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
P1-mutex,partition,Climate and Weather,KXLOWTLAX-26AUG04 | 6 legs,mutually exclusive: NO on all legs floors at (n-1),sell-all direction; needs all legs quoted at trade time
