series_ticker,n_markets,n_active,n_ever_traded,n_traded_24h,n_two_sided,templates
CONTROLH,4,4,4,2,4,entity_menu
CONTROLS,4,4,4,2,4,entity_menu
ECMOV,14,14,10,0,14,entity_menu
GOVPARTYAL,2,2,2,1,2,entity_menu
GOVPARTYAR,2,2,2,0,2,entity_menu
GOVPARTYAZ,2,2,2,2,2,entity_menu
GOVPARTYCA,2,2,2,2,2,entity_menu
GOVPARTYCO,2,2,2,1,2,entity_menu
GOVPARTYCT,2,2,2,1,2,entity_menu
GOVPARTYDE,2,2,2,0,2,entity_menu
GOVPARTYFL,2,2,2,2,2,entity_menu
GOVPARTYGA,2,2,2,2,2,entity_menu
GOVPARTYHI,2,2,2,0,2,entity_menu
GOVPARTYIA,2,2,2,2,2,entity_menu
GOVPARTYID,2,2,2,0,2,entity_menu
GOVPARTYIL,2,2,2,1,2,entity_menu
GOVPARTYIN,2,2,2,0,2,entity_menu
GOVPARTYKS,2,2,2,1,2,entity_menu
GOVPARTYKY,2,2,2,0,2,entity_menu
GOVPARTYLA,2,2,2,0,2,entity_menu
GOVPARTYMA,2,2,2,2,2,entity_menu
GOVPARTYMD,2,2,2,2,2,entity_menu
GOVPARTYME,3,3,3,0,3,entity_menu
GOVPARTYMI,3,3,3,2,3,entity_menu
GOVPARTYMN,2,2,2,0,2,entity_menu
GOVPARTYMO,2,2,2,0,2,entity_menu
GOVPARTYMS,2,2,2,0,2,entity_menu
GOVPARTYMT,2,2,2,0,2,entity_menu
GOVPARTYNC,2,2,2,2,2,entity_menu
GOVPARTYND,2,2,2,0,2,entity_menu
GOVPARTYNE,2,2,2,1,2,entity_menu
GOVPARTYNH,2,2,2,0,2,entity_menu
GOVPARTYNM,2,2,2,0,2,entity_menu
GOVPARTYNV,2,2,2,1,2,entity_menu
GOVPARTYNY,2,2,2,2,2,entity_menu
GOVPARTYOH,2,2,2,2,2,entity_menu
GOVPARTYOK,2,2,2,0,2,entity_menu
GOVPARTYOR,2,2,2,1,2,entity_menu
GOVPARTYPA,2,2,2,1,2,entity_menu
GOVPARTYRI,3,3,3,1,3,entity_menu
GOVPARTYSC,2,2,2,0,2,entity_menu
GOVPARTYSD,2,2,2,0,2,entity_menu
GOVPARTYTN,2,2,2,0,2,entity_menu
GOVPARTYTX,2,2,2,2,2,entity_menu
GOVPARTYUT,2,2,2,0,2,entity_menu
GOVPARTYVT,4,4,4,1,4,entity_menu
GOVPARTYWA,2,2,2,0,2,entity_menu
GOVPARTYWI,2,2,2,2,2,entity_menu
GOVPARTYWV,2,2,2,0,2,entity_menu
GOVPARTYWY,2,2,2,0,2,entity_menu
HOUSEAKAL,3,3,3,1,3,entity_menu
HOUSEAZ1,2,2,2,2,2,entity_menu
HOUSEAZ2,2,2,2,1,2,entity_menu
HOUSEAZ6,2,2,2,0,2,entity_menu
HOUSECA13,2,2,2,2,2,entity_menu
HOUSECA21,2,2,2,0,2,entity_menu
HOUSECA22,2,2,2,1,2,entity_menu
HOUSECA27,2,2,2,0,2,entity_menu
HOUSECA3,2,2,2,0,2,entity_menu
HOUSECA41,2,2,2,0,2,entity_menu
HOUSECA45,2,2,2,2,2,entity_menu
HOUSECA47,2,2,2,0,2,entity_menu
HOUSECA49,2,2,2,0,2,entity_menu
HOUSECA9,2,2,2,0,2,entity_menu
HOUSECO3,2,2,2,0,2,entity_menu
HOUSECO8,2,2,2,0,2,entity_menu
HOUSECT5,2,2,2,0,2,entity_menu
HOUSEFL13,2,2,2,1,2,entity_menu
HOUSEFL23,2,2,2,0,2,entity_menu
HOUSEIA1,2,2,2,0,2,entity_menu
HOUSEIA3,2,2,2,0,2,entity_menu
HOUSEIL17,2,2,2,1,2,entity_menu
HOUSEIN1,2,2,2,1,2,entity_menu
HOUSEME2,2,2,2,1,2,entity_menu
HOUSEMI10,2,2,2,0,2,entity_menu
HOUSEMI3,2,2,2,0,2,entity_menu
HOUSEMI4,2,2,2,0,2,entity_menu
HOUSEMI7,2,2,2,1,2,entity_menu
HOUSEMI8,2,2,2,0,2,entity_menu
HOUSEMN2,2,2,2,0,2,entity_menu
HOUSEMT1,2,2,2,2,2,entity_menu
HOUSENC1,2,2,2,1,2,entity_menu
HOUSENE2,2,2,2,1,2,entity_menu
HOUSENH1,2,2,2,0,2,entity_menu
HOUSENJ5,2,2,2,0,2,entity_menu
HOUSENJ7,2,2,2,0,2,entity_menu
HOUSENJ9,2,2,2,0,2,entity_menu
HOUSENM2,2,2,2,1,2,entity_menu
HOUSENV1,2,2,2,0,2,entity_menu
HOUSENV3,2,2,2,0,2,entity_menu
HOUSENV4,2,2,2,0,2,entity_menu
HOUSENY17,2,2,2,2,2,entity_menu
HOUSENY18,2,2,2,0,2,entity_menu
HOUSENY19,2,2,2,0,2,entity_menu
HOUSENY22,2,2,2,0,2,entity_menu
HOUSENY3,2,2,2,0,2,entity_menu
HOUSENY4,2,2,2,1,2,entity_menu
HOUSEOH1,2,2,2,0,2,entity_menu
HOUSEOH13,2,2,2,0,2,entity_menu
HOUSEOH9,2,2,2,2,2,entity_menu
HOUSEOR5,2,2,2,0,2,entity_menu
HOUSEPA1,2,2,2,0,2,entity_menu
HOUSEPA10,2,2,2,0,2,entity_menu
HOUSEPA17,2,2,2,0,2,entity_menu
HOUSEPA7,2,2,2,0,2,entity_menu
HOUSEPA8,2,2,2,2,2,entity_menu
HOUSETX15,2,2,2,2,2,entity_menu
HOUSETX28,2,2,2,2,2,entity_menu
HOUSETX34,2,2,2,0,2,entity_menu
HOUSEVA1,2,2,2,0,2,entity_menu
HOUSEVA2,2,2,2,0,2,entity_menu
HOUSEVA7,2,2,2,0,2,entity_menu
HOUSEWA3,2,2,2,0,2,entity_menu
HOUSEWI1,2,2,2,2,2,entity_menu
HOUSEWI3,2,2,2,0,2,entity_menu
KX10SONG,112,108,99,7,108,entity_menu
KX10Y2Y,4,4,4,0,4,threshold
KX10Y2YDATE,11,11,11,1,11,entity_menu
KX1ALBUM,110,104,108,21,103,entity_menu
KX1DREUNION,1,1,1,0,1,binary
KX1SONG,116,113,114,9,113,entity_menu
KX1SONGJUSTINBIEBER,1,1,1,0,1,binary
KX2028DRUN,37,37,37,15,37,entity_menu
KX2028RRUN,35,35,34,2,35,entity_menu
KX20SONG,96,90,91,6,90,entity_menu
KX250DOLLARBILL,1,1,1,1,1,binary
KX48ETAXCREDIT,1,1,1,0,1,binary
KX60MINUTES,1,1,1,0,1,binary
KXA100MAX,18,9,18,1,9,threshold
KXA100MON,20,20,7,3,17,threshold
KXA100MS,94,94,86,14,91,threshold
KXA100W,1,1,1,1,1,binary
KXA100WS,57,57,49,14,50,threshold
KXAAAGASD,17,17,17,17,5,threshold
KXAAAGASED,11,11,11,6,11,threshold
KXAAAGASM,26,26,26,21,18,threshold
KXAAAGASMAX,13,13,13,12,13,threshold
KXAAAGASMAXCA,10,10,10,5,10,threshold
